Ticker,Security,GICS?Sector,Weight
DGC.TO,Detour Gold Corporation,Utilities,-0.01
MHH,Mastech Holdings,Information Technology,0.046
TD,The Toronto-Dominion Bank,Financials,0.0432
SPR,Spirit AeroSystems Holdings,Financials,0
SNY,Sanofi,Health Care,0.076
MGA,Magna International,Industrials,0.0156
ATD-B.TO,Alimentation Couche-Tard,Consumer Staples,0.0039
