Ticker,Security,GICS?Sector,Weight,SectorTickers,SectorWeight
DGC.TO,Detour Gold Corporation,Utilities,-0.01,XLY,0.1066
MHH,Mastech Holdings,Information Technology,0.046,XLP,0.0889
TD,The Toronto-Dominion Bank,Financials,0.0432,XLE,0.0536
SPR,Spirit AeroSystems Holdings,Financials,0,XLF,0.0764
SNY,Sanofi,Health Care,0.076,XLV,0.1112
MGA,Magna International,Industrials,0.0156,XLI,0.0476
ATD-B.TO,Alimentation Couche-Tard,Consumer Staples,0.0039,XLK,0.1296
,,,,XLB,0.043
,,,,XLU,0.0318
