,AAPL.O,AMP,ATDb.TO,BA,CELG.O,EOG,MGA,MHH,SNY,TD,VNQ,WFC,WFM.O,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
14-11-07,109.01,129.05,38.53,124.45,106.45,99.55,103.45,11.99,45.69,49.22,78.93,53.84,46.81,48.64,87.79,24.15,56.11,40.84,47.74,46.25,67.03,68.0067
14-11-06,109.04,129.3,38.74,124.75,107.23,100.65,103.44,11.8372,45.55,49.28,79.1801,53.997,47.1,48.66,88.1,24.175,56.12,40.855,47.64,46.13,67.28,68.01
14-11-05,108.86,128.57,38.7,124.22,105.15,96.1,102.93,11.81,45.7,49.17,79.64,53.53,39.99,48.02,85.75,24.1,55.45,40.81,47.47,46.56,67.3,67.55
14-11-04,108.6,127.98,38.64,125.84,105.75,90.28,96.97,11.82,45.49,48.7,79.81,53.27,39.8,47.56,84.27,23.94,55.11,40.7,47.14,45.53,67.36,67.28
14-11-02,109.4,126.44,38,126.03,107.41,93.32,97.66,11.62,45.78,48.77,79.68,53.37,39.95,48.06,86.04,23.93,55.14,40.71,46.89,45.77,67.35,68.1
