,AAPL.O,AMP,ATDb.TO,BA,CELG.O,EOG,MGA,MHH,SNY,TD,VNQ,WFC,WFM.O,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,S&P500,AAPL.O LR,AMP LR,ATDb.TO LR,BA LR,CELG.O LR,EOG LR,MGA LR,MHH LR,SNY LR,TD LR,VNQ LR,WFC LR,WFM.O LR,XLB LR,XLE LR,XLF LR,XLI LT=R,XLK LR,XLP LR,XLU LR,XLV LR,XLY LR,RM
14-11-07,109.01,129.05,38.53,124.45,106.45,99.55,103.45,11.99,45.69,49.22,78.93,53.84,46.81,48.64,87.79,24.15,56.11,40.84,47.74,46.25,67.03,68.0067,2031.92,-0.000275166,-0.00193536,-0.005435499,-0.002407706,-0.007300669,-0.010989122,9.67E-05,0.012825854,0.003068832,-0.001218274,-0.003163621,-0.002911804,-0.006176146,-0.0004111,-0.003524934,-0.001034661,-0.000178205,-0.00036722,0.002096876,0.002597966,-0.003722735,-4.85E-05,0.000349484
14-11-06,109.04,129.3,38.74,124.75,107.23,100.65,103.44,11.8372,45.55,49.28,79.1801,53.997,47.1,48.66,88.1,24.175,56.12,40.855,47.64,46.13,67.28,68.01,2031.21,0.001652134,0.005661783,0.001033058,0.004257548,0.019588158,0.046259836,0.004942589,0.002300485,-0.003287674,0.002234638,-0.005791475,0.008686245,0.163643578,0.013239747,0.027036447,0.003107201,0.012010541,0.001102063,0.003574812,-0.009278306,-0.000297221,0.006786689,0.003768396
14-11-05,108.86,128.57,38.7,124.22,105.15,96.1,102.93,11.81,45.7,49.17,79.64,53.53,39.99,48.02,85.75,24.1,55.45,40.81,47.47,46.56,67.3,67.55,2023.57,0.002391246,0.004599501,0.001551591,-0.012957072,-0.005689916,0.062473364,0.059647493,-0.000846382,0.004605776,0.009604651,-0.002132331,0.004868923,0.004762511,0.009625519,0.017410156,0.00666114,0.006150526,0.002699057,0.006976035,0.022370354,-0.000891133,0.004005049,0.005684325
14-11-04,108.6,127.98,38.64,125.84,105.75,90.28,96.97,11.82,45.49,48.7,79.81,53.27,39.8,47.56,84.27,23.94,55.11,40.7,47.14,45.53,67.36,67.28,2012.1,-0.007339482,0.012106114,0.01670185,-0.001508715,-0.01557547,-0.033118495,-0.007090406,0.017065261,-0.006354793,-0.00143634,0.001630197,-0.001875469,-0.00376176,-0.010458158,-0.020786375,0.000417798,-0.000544218,-0.00024567,0.005317464,-0.005257405,0.000148467,-0.012114197,-0.002833812
14-11-02,109.4,126.44,38,126.03,107.41,93.32,97.66,11.62,45.78,48.77,79.68,53.37,39.95,48.06,86.04,23.93,55.14,40.71,46.89,45.77,67.35,68.1,2017.81,,,,,,,,,,,,,,,,,,,,,,,
