"","Sector","Ticker","Expected.Return","Estimated.Volatility","Estimated.Beta"
"1","Oil and Gas","XLE","0.106669562553485","0.290481716169083","1.21145655645053"
"2","Healthcare","XLV","0.0913282481592146","0.163791696246955","0.664486222154605"
"3","Financial","XLF","0.00459957045356105","0.265821318669014","1.49918968371891"
"4","Consumer Discretionary","XLY","0.087518479658247","0.205674788290917","1.00178304603509"
"5","Consumer Staples","XLP","0.098386658605281","0.136443587499084","0.540879820001633"
"6","Technology ","XLK","0.074284656449898","0.199972730224316","0.941680064577703"
"7","Industrial","XLI","0.0849879197679173","0.206795805223799","1.00206327739838"
"8","Materials","XLB","0.0815781357898238","0.2502850983153","1.10488318734468"
"9","Utilities","XLU","0.0992619172276776","0.175696799741701","0.658726491433169"
