Ticker,Target Price,Sector
AMP,138,Financial
ATD-B.TO,40,Consumers
BA,160.09,Industrials and Manufacturing 
CAS.TO,7.81,Industrials and Manufacturing 
CELG,115,Healthcare
EOG,130,Oil and Gas
KMI,45.5,Oil and Gas
MGA,107.5,Industrials and Manufacturing 
MHH,12.46,Technology 
SNY,60,Healthcare
TD,56,Financial
WFC,66.14,Financial 
WFM,48,Consumers
