"","X1","X2"
"1","BRK-B","9.61093004060093e-06"
"2","VNQ","0.107450370403539"
"3","AAPL","0.0297083366110844"
"4","KMI","0.027977337147843"
"5","AMP","0.0275468277965801"
"6","CELG","0.0195846032280089"
"7","BA","0.0189433408462767"
"8","CAS.TO","0.0161243602188116"
"9","GOOGL","0.015884341124353"
"10","GOOG","0.0157317229289736"
"11","XOM","0.0146272491466229"
"12","MSFT","0.0142296385849766"
"13","JNJ","0.0114543971900518"
"14","WFC","0.0113660392874637"
"15","WMT","0.0107997454572402"
"16","GE","0.010349923407701"
"17","JPM","0.00926151469854816"
"18","FB","0.00918520560085847"
"19","PG","0.00916512425936119"
"20","PFE","0.00853457013634642"
"21","VZ","0.00818113852599419"
"22","CVX","0.00792409735482893"
"23","ORCL","0.00771525140325716"
"24","KO","0.00744214515889407"
"25","AMZN","0.0072051853292261"
"26","DIS","0.00718510398772882"
"27","T","0.00710879489003913"
"28","V","0.0069240465482641"
"29","BAC","0.00673929820648907"
"30","MRK","0.00659471254770862"
"31","C","0.00652241971831839"
"32","INTC","0.00644209435232925"
"33","IBM","0.00639389913273576"
"34","GILD","0.00622521586415856"
"35","CMCSA","0.00613284169327105"
"36","HD","0.00607259766877919"
"37","CSCO","0.00601636991258679"
"38","PEP","0.00580752396101502"
"39","EOG","0.00516190490141192"
"40","PM","0.00508459566711273"
"41","AMGN","0.00487976598384042"
"42","CVS","0.00471509898356268"
"43","QCOM","0.00470305017866431"
"44","BMY","0.00442994393430122"
"45","UTX","0.00440986259280394"
"46","UNH","0.00440584632450448"
"47","MO","0.00439781378790556"
"48","SLB","0.00434158603171316"
"49","MMM","0.00426929320232294"
"50","MA","0.00424117932422674"
"51","UNP","0.00416888649483651"
"52","BIIB","0.00399466077600606"
"53","MCD","0.00381031406106097"
"54","ABBV","0.00373396480068829"
"55","UPS","0.00365420171226108"
"56","GS","0.00345170146460245"
"57","NKE","0.00341081585331397"
"58","AXP","0.00331799989291352"
"59","HON","0.00325622968646787"
"60","USB","0.00317803294267744"
"61","COP","0.00316461860655725"
"62","ACT","0.00315453777312561"
"63","MDT","0.00309300854277793"
"64","AIG","0.0030591915636965"
"65","LLY","0.00302272384753743"
"66","FOXA","0.00298870605504103"
"67","LOW","0.0028890222758485"
"68","ABT","0.00287022614020704"
"69","EBAY","0.0028668524748355"
"70","DD","0.00283636899844262"
"71","AGN","0.00283540509405075"
"72","SBUX","0.00282648897842595"
"73","MS","0.00280789365619947"
"74","TWX","0.0027899007742179"
"75","COST","0.00267322818011867"
"76","CL","0.00258860540704911"
"77","PCLN","0.00257768115727458"
"78","F","0.00257229935775331"
"79","LMT","0.00251856168790658"
"80","HPQ","0.00251771827156369"
"81","BLK","0.00247759575125211"
"82","TXN","0.00246783621928443"
"83","ESRX","0.00245522513682414"
"84","DHR","0.00244964252388789"
"85","GM","0.00244414023631763"
"86","MDLZ","0.00241606652090443"
"87","OXY","0.00240060388795152"
"88","SPG","0.00235148492664916"
"89","MET","0.00232116210098826"
"90","ACN","0.00231839087586163"
"91","MON","0.00231116159292261"
"92","DOW","0.00228855000239667"
"93","EMC","0.00222135783374675"
"94","DUK","0.00220316413835021"
"95","MCK","0.00213741782628809"
"96","TMO","0.00208171218497462"
"97","TGT","0.00200817431241156"
"98","FDX","0.00198247019529504"
"99","CAT","0.00196881488307688"
"100","PNC","0.00193560034424037"
"101","TJX","0.00192467609446585"
"102","NEE","0.00182234157819568"
"103","GD","0.00181916872623911"
"104","DTV","0.00178049206251534"
"105","TWC","0.00176647528615023"
"106","BK","0.00175771982125742"
"107","COF","0.00174221702562151"
"108","REGN","0.00172856171340336"
"109","PSX","0.00169257594944022"
"110","APC","0.00168892114528771"
"111","D","0.00168538682918419"
"112","CRM","0.00168064763259083"
"113","LYB","0.00167373965111577"
"114","ADP","0.00165566644376821"
"115","YHOO","0.00165261407986062"
"116","SO","0.00164650935204545"
"117","SWY","0.00159674648962744"
"118","WAG","0.00159674648962744"
"119","CCI","0.00159674648962744"
"120","COV","0.00159674648962744"
"121","WLP","0.00159674648962744"
"122","ALLE","0.00159674648962744"
"123","NU","0.00159674648962744"
"124","EMR","0.00159622567293624"
"125","KMB","0.00159124550024492"
"126","RAI","0.00158369491584194"
"127","AMT","0.00157975897290847"
"128","SCHW","0.00157441733607019"
"129","ADBE","0.00156365373702765"
"130","CTSH","0.0015263024418427"
"131","BAX","0.00150907265083802"
"132","ITW","0.00150079913814114"
"133","ALXN","0.00149605994154778"
"134","KRFT","0.00148750529006994"
"135","ACE","0.00148613975884812"
"136","PX","0.00147939242810504"
"137","PRU","0.00147786624615124"
"138","DAL","0.00146662069491276"
"139","WMB","0.00146131922075748"
"140","HAL","0.00146123889539149"
"141","KR","0.00144919009049312"
"142","AET","0.00142693996411413"
"143","CCL","0.0014167788053165"
"144","SYK","0.00140738073749577"
"145","YUM","0.00140135633504658"
"146","ECL","0.00140019161723974"
"147","TRV","0.0013856928886787"
"148","PSA","0.00136123381473501"
"149","BEN","0.00134934566056861"
"150","CSX","0.00134846208154273"
"151","NSC","0.00134219670299558"
"152","AVGO","0.00134030905689484"
"153","APD","0.00133380270224972"
"154","JCI","0.00133287896054084"
"155","VFC","0.00132307926589016"
"156","RTN","0.00132203503613231"
"157","CME","0.00131420331294836"
"158","NOC","0.00130914281489105"
"159","ETN","0.00129797758901856"
"160","GIS","0.00128685252582906"
"161","PPG","0.00128665171241409"
"162","MU","0.00127813722361924"
"163","CI","0.00126693183506375"
"164","GLW","0.0012599033655397"
